DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,BEST_FIRST,NONE,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,NONE,NONE,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.5454545454545454,0.1,0.6471779548472776,0.11617937478926844,6.0,5.0,246.0,54.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.4,0.13333333333333333,0.650132802124834,0.11459074733096059,8.0,12.0,239.0,52.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.32894736842105265,0.4166666666666667,0.6717795484727755,0.19381480588377145,25.0,51.0,200.0,35.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.5454545454545454,0.1,0.6471779548472776,0.11617937478926844,6.0,5.0,246.0,54.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.4,0.13333333333333333,0.650132802124834,0.11459074733096059,8.0,12.0,239.0,52.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.32894736842105265,0.4166666666666667,0.6717795484727755,0.19381480588377145,25.0,51.0,200.0,35.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,NONE,NONE,NONE,0.5555555555555556,0.08333333333333333,0.6563081009296149,0.09961234604249496,5.0,4.0,247.0,55.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.4418604651162791,0.31666666666666665,0.650398406374502,0.2477579726863393,19.0,24.0,227.0,41.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.34285714285714286,0.4,0.6717795484727755,0.20380892912894155,24.0,46.0,205.0,36.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.21875,0.14893617021276595,0.685312285518188,0.0789839253820199,7.0,25.0,285.0,40.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.1590909090909091,0.2978723404255319,0.6359643102264928,0.04318312752047687,14.0,74.0,236.0,33.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.1523809523809524,0.3404255319148936,0.5985929993136582,0.03500473036896862,16.0,89.0,221.0,31.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.2,0.1702127659574468,0.7185655456417296,0.0715044507124806,8.0,32.0,278.0,39.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.2236842105263158,0.3617021276595745,0.6617364447494852,0.13582832431256298,17.0,59.0,251.0,30.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.25,0.5531914893617021,0.7287577213452299,0.19913439532301544,26.0,78.0,232.0,21.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,NONE,NONE,NONE,0.175,0.14893617021276595,0.6819148936170213,0.04534964650719792,7.0,33.0,277.0,40.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.16049382716049382,0.2765957446808511,0.6814687714481812,0.04380022057665033,13.0,68.0,242.0,34.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.1875,0.574468085106383,0.6467055593685656,0.1050666959433497,27.0,117.0,193.0,20.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.4642857142857143,0.325,0.7875741839762611,0.3232176440417166,13.0,15.0,322.0,27.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.2857142857142857,0.5,0.7657270029673591,0.26428770560356835,20.0,50.0,287.0,20.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.35064935064935066,0.675,0.8077893175074184,0.37413370576299754,27.0,50.0,287.0,13.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.4642857142857143,0.325,0.7875741839762611,0.3232176440417166,13.0,15.0,322.0,27.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.2857142857142857,0.5,0.7657270029673591,0.26428770560356835,20.0,50.0,287.0,20.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.35064935064935066,0.675,0.8077893175074184,0.37413370576299754,27.0,50.0,287.0,13.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,NONE,NONE,NONE,0.43333333333333335,0.325,0.7928041543026706,0.30854522717799077,13.0,17.0,320.0,27.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.25,0.5,0.7435830860534125,0.22348094747682803,20.0,60.0,277.0,20.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.25274725274725274,0.575,0.7583456973293768,0.23896264279098506,23.0,68.0,269.0,17.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.7391304347826086,0.3090909090909091,0.7826098059244126,0.387564345705771,17.0,6.0,350.0,38.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.41818181818181815,0.41818181818181815,0.7409856996935649,0.32829417773238,23.0,32.0,324.0,32.0
