VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,src/java/main/org/apache/zookeeper/server/Request.java,197,224,188,32.0,27,11,3.857142857142857,199,188,28.428571428571427,0,7,4,False
0,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,37,44,35,14.666666666666666,7,6,2.3333333333333335,37,35,12.333333333333334,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,78,91,75,18.2,13,6,2.6,78,75,15.6,0,5,1,True
0,src/java/main/org/apache/zookeeper/server/ServerConfig.java,69,104,67,26.0,35,19,8.75,69,67,17.25,0,4,1,False
0,src/java/main/org/apache/zookeeper/server/ServerStats.java,140,148,135,37.0,8,6,2.0,140,135,35.0,0,4,2,False
0,src/java/main/org/apache/zookeeper/server/SessionTracker.java,58,66,56,22.0,8,6,2.6666666666666665,58,56,19.333333333333332,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,219,240,220,48.0,21,7,4.2,225,220,45.0,0,5,3,False
0,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,132,584,264,73.0,452,264,56.5,434,262,54.25,0,8,4,True
0,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,119,129,117,32.25,10,6,2.5,119,117,29.75,0,4,2,False
0,src/java/main/org/apache/zookeeper/server/WatchManager.java,113,131,108,26.2,18,6,3.6,113,108,22.6,0,5,1,False
0,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,610,1208,924,100.66666666666667,598,467,49.833333333333336,1370,924,114.16666666666667,0,12,4,False
0,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,80,84,74,42.0,4,4,2.0,80,74,40.0,0,2,2,True
0,src/java/main/org/apache/zookeeper/server/ZooTrace.java,92,193,92,38.6,101,92,20.2,92,90,18.4,0,5,2,False
0,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,81,89,79,29.666666666666668,8,6,2.6666666666666665,81,79,27.0,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,127,264,127,66.0,137,127,34.25,127,125,31.75,0,4,1,False
0,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,67,77,65,25.666666666666668,10,6,3.3333333333333335,67,65,22.333333333333332,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,115,125,113,41.666666666666664,10,6,3.3333333333333335,115,113,38.333333333333336,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,78,157,70,31.4,79,70,15.8,78,68,15.6,0,5,2,False
0,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,159,170,134,34.0,11,8,2.2,159,134,31.8,0,5,3,True
0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,485,491,480,122.75,6,2,1.5,485,480,121.25,0,4,2,True
