DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.2727272727272727,0.7777777777777778,0.7838636758824552,0.28468416498413635,21.0,56.0,157.0,6.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.1702127659574468,0.2962962962962963,0.5565988523735003,0.08553409538825377,8.0,39.0,174.0,19.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.22857142857142856,0.2962962962962963,0.6910102590853765,0.15011547344110843,8.0,27.0,186.0,19.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.23529411764705882,0.4444444444444444,0.6306729264475743,0.18827508455467887,12.0,39.0,174.0,15.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.2608695652173913,0.4444444444444444,0.7106590158233351,0.2178770949720667,12.0,34.0,179.0,15.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.25287356321839083,0.8148148148148148,0.7548252477829943,0.25867090283293626,22.0,65.0,148.0,5.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.2727272727272727,0.7777777777777778,0.7838636758824552,0.28468416498413635,21.0,56.0,157.0,6.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.23214285714285715,0.37142857142857144,0.5818495514147688,0.13103524472433972,13.0,43.0,164.0,22.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.2682926829268293,0.3142857142857143,0.7228433402346446,0.15809818322381128,11.0,30.0,177.0,24.0
ZOOKEEPER,8,85.90564938846826,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.2553191489361702,0.34285714285714286,0.5868875086266391,0.15210825178204665,12.0,35.0,172.0,23.0
